Question_Type,Visualization_Type,Mean_Brier,SD_Brier,N
Value_Retrieval,Arrow_Glyph,0.09543444444333334,0.045718439306981266,3
Value_Retrieval,Color_Map,0.13139582374333333,0.08348172582898471,3
Value_Retrieval,Isoline,0.058558888889999994,0.03474925679654149,3
Value_Retrieval,Line_Graph,0.0077477777789,0.012738292811538324,3
Trend_Detection,Arrow_Glyph,0.10445000001,0.09832903020595438,3
Trend_Detection,Color_Map,0.00455904762,0.006333620260094774,3
Trend_Detection,Isoline,0.018549999999000002,0.015655755418423567,3
Trend_Detection,Line_Graph,0.0017744444445666665,0.0026445632561499883,3
Outlier_Detection,Arrow_Glyph,0.25638,0.06226570243721658,3
Outlier_Detection,Color_Map,0.26804444443333336,0.11908205191592881,3
Outlier_Detection,Isoline,0.22987333333333335,0.08850739978131895,3
Outlier_Detection,Line_Graph,0.16241444446666667,0.0091227763289452,3
ECR,Arrow_Glyph,0.02001185185262889,0.025589062177776754,9
ECR,Color_Map,0.0111906130266,0.015081948705561133,9
ECR,Isoline,0.00922814814818889,0.012101445862727763,9
ECR,Line_Graph,0.005651851852147778,0.011053422184958432,9
