Row_Label,Dataset_ID,Visualization_Type,Model,ECR_Item,ECR_Brier
Vis-1A Claude,1A,Line_Graph,Claude,ECR_1,0.0064
Vis-1A GPT,1A,Line_Graph,GPT,ECR_1,0.0004
Vis-1A Gemini,1A,Line_Graph,Gemini,ECR_1,0.0
Vis-1B Claude,1B,Line_Graph,Claude,ECR_1,0.0225
Vis-1B GPT,1B,Line_Graph,GPT,ECR_1,0.0004
Vis-1B Gemini,1B,Line_Graph,Gemini,ECR_1,0.0
Vis-1C Claude,1C,Line_Graph,Claude,ECR_1,0.0225
Vis-1C GPT,1C,Line_Graph,GPT,ECR_1,0.0004
Vis-1C Gemini,1C,Line_Graph,Gemini,ECR_1,0.0
Vis-1D Claude,1D,Line_Graph,Claude,ECR_1,0.0784
Vis-1D GPT,1D,Line_Graph,GPT,ECR_1,0.0009
Vis-1D Gemini,1D,Line_Graph,Gemini,ECR_1,0.0
Vis-1E Claude,1E,Line_Graph,Claude,ECR_1,0.0064
Vis-1E GPT,1E,Line_Graph,GPT,ECR_1,0.0001
Vis-1E Gemini,1E,Line_Graph,Gemini,ECR_1,0.0
Vis-1F Claude,1F,Line_Graph,Claude,ECR_1,0.0144
Vis-1F GPT,1F,Line_Graph,GPT,ECR_1,0.0004
Vis-1F Gemini,1F,Line_Graph,Gemini,ECR_1,0.0
Vis-1G Claude,1G,Line_Graph,Claude,ECR_1,0.0009
Vis-1G GPT,1G,Line_Graph,GPT,ECR_1,0.0004
Vis-1G Gemini,1G,Line_Graph,Gemini,ECR_1,0.0
Vis-1H Claude,1H,Line_Graph,Claude,ECR_1,0.0324
Vis-1H GPT,1H,Line_Graph,GPT,ECR_1,0.0004
Vis-1H Gemini,1H,Line_Graph,Gemini,ECR_1,0.0
Vis-1I Claude,1I,Line_Graph,Claude,ECR_1,0.0625
Vis-1I GPT,1I,Line_Graph,GPT,ECR_1,0.0004
Vis-1I Gemini,1I,Line_Graph,Gemini,ECR_1,0.0
Vis-1J Claude,1J,Line_Graph,Claude,ECR_1,0.0025
Vis-1J GPT,1J,Line_Graph,GPT,ECR_1,0.0004
Vis-1J Gemini,1J,Line_Graph,Gemini,ECR_1,0.0
Vis-2A Claude,2A,Color_Map,Claude,ECR_1,0.0324
Vis-2A GPT,2A,Color_Map,GPT,ECR_1,0.0289
Vis-2A Gemini,2A,Color_Map,Gemini,ECR_1,0.0
Vis-2B Claude,2B,Color_Map,Claude,ECR_1,0.1225
Vis-2B GPT,2B,Color_Map,GPT,ECR_1,0.0064
Vis-2B Gemini,2B,Color_Map,Gemini,ECR_1,0.0025
Vis-2C Claude,2C,Color_Map,Claude,ECR_1,0.01
Vis-2C GPT,2C,Color_Map,GPT,ECR_1,0.0196
Vis-2C Gemini,2C,Color_Map,Gemini,ECR_1,0.0
Vis-2D Claude,2D,Color_Map,Claude,ECR_1,0.04
Vis-2D GPT,2D,Color_Map,GPT,ECR_1,0.0289
Vis-2D Gemini,2D,Color_Map,Gemini,ECR_1,0.0
