Visualization_Label,Group,Model,Viz_Code,Visualization_Type,Question_ID,Mean_Brier,Question_Type
Line Graph,Claude-1,Claude,1,Line_Graph,Q1,0.02245666667,Value_Retrieval
Color Map,Claude-2,Claude,2,Color_Map,Q1,0.1131241379,Value_Retrieval
Isolines,Claude-3,Claude,3,Isoline,Q1,0.09398333333,Value_Retrieval
Glyphs,Claude-4,Claude,4,Arrow_Glyph,Q1,0.07337333333,Value_Retrieval
Line Graph,GPT-1,GPT,1,Line_Graph,Q1,0.00037,Value_Retrieval
Color Map,GPT-2,GPT,2,Color_Map,Q1,0.05856333333,Value_Retrieval
Isolines,GPT-3,GPT,3,Isoline,Q1,0.02452666667,Value_Retrieval
Glyphs,GPT-4,GPT,4,Arrow_Glyph,Q1,0.06493,Value_Retrieval
Line Graph,Gemini-1,Gemini,1,Line_Graph,Q1,0.0004166666667,Value_Retrieval
Color Map,Gemini-2,Gemini,2,Color_Map,Q1,0.2225,Value_Retrieval
Isolines,Gemini-3,Gemini,3,Isoline,Q1,0.05716666667,Value_Retrieval
Glyphs,Gemini-4,Gemini,4,Arrow_Glyph,Q1,0.148,Value_Retrieval
Line Graph,Claude-1,Claude,1,Line_Graph,ECR_1a,0.008363333333,ECR
Color Map,Claude-2,Claude,2,Color_Map,ECR_1a,0.02164827586,ECR
Isolines,Claude-3,Claude,3,Isoline,ECR_1a,0.02237,ECR
Glyphs,Claude-4,Claude,4,Arrow_Glyph,ECR_1a,0.05164,ECR
Line Graph,GPT-1,GPT,1,Line_Graph,ECR_1a,0.0002033333333,ECR
Color Map,GPT-2,GPT,2,Color_Map,ECR_1a,0.03644666667,ECR
Isolines,GPT-3,GPT,3,Isoline,ECR_1a,0.02255666667,ECR
Glyphs,GPT-4,GPT,4,Arrow_Glyph,ECR_1a,0.03718666667,ECR
Line Graph,Gemini-1,Gemini,1,Line_Graph,ECR_1a,0.0,ECR
Color Map,Gemini-2,Gemini,2,Color_Map,ECR_1a,0.0001666666667,ECR
Isolines,Gemini-3,Gemini,3,Isoline,ECR_1a,0.03008333333,ECR
Glyphs,Gemini-4,Gemini,4,Arrow_Glyph,ECR_1a,0.06666666667,ECR
Line Graph,Claude-1,Claude,1,Line_Graph,Q2,0.004826666667,Trend_Detection
Color Map,Claude-2,Claude,2,Color_Map,Q2,0.01185714286,Trend_Detection
Isolines,Claude-3,Claude,3,Isoline,Q2,0.01927,Trend_Detection
Glyphs,Claude-4,Claude,4,Arrow_Glyph,Q2,0.09440333333,Trend_Detection
Line Graph,GPT-1,GPT,1,Line_Graph,Q2,0.00033,Trend_Detection
Color Map,GPT-2,GPT,2,Color_Map,Q2,0.00132,Trend_Detection
Isolines,GPT-3,GPT,3,Isoline,Q2,0.002546666667,Trend_Detection
Glyphs,GPT-4,GPT,4,Arrow_Glyph,Q2,0.01153,Trend_Detection
Line Graph,Gemini-1,Gemini,1,Line_Graph,Q2,0.0001666666667,Trend_Detection
Color Map,Gemini-2,Gemini,2,Color_Map,Q2,0.0005,Trend_Detection
Isolines,Gemini-3,Gemini,3,Isoline,Q2,0.03383333333,Trend_Detection
Glyphs,Gemini-4,Gemini,4,Arrow_Glyph,Q2,0.2074166667,Trend_Detection
Line Graph,Claude-1,Claude,1,Line_Graph,ECR_1b,0.001073333333,ECR
Color Map,Claude-2,Claude,2,Color_Map,ECR_1b,0.000724137931,ECR
Isolines,Claude-3,Claude,3,Isoline,ECR_1b,0.001553333333,ECR
Glyphs,Claude-4,Claude,4,Arrow_Glyph,ECR_1b,0.00264,ECR
Line Graph,GPT-1,GPT,1,Line_Graph,ECR_1b,0.0002066666667,ECR
Color Map,GPT-2,GPT,2,Color_Map,ECR_1b,0.0005366666667,ECR
Isolines,GPT-3,GPT,3,Isoline,ECR_1b,0.001176666667,ECR
Glyphs,GPT-4,GPT,4,Arrow_Glyph,ECR_1b,0.001776666667,ECR
Line Graph,Gemini-1,Gemini,1,Line_Graph,ECR_1b,0.0,ECR
Color Map,Gemini-2,Gemini,2,Color_Map,ECR_1b,0.0,ECR
Isolines,Gemini-3,Gemini,3,Isoline,ECR_1b,0.0,ECR
Glyphs,Gemini-4,Gemini,4,Arrow_Glyph,ECR_1b,8.333333333e-05,ECR
Line Graph,Claude-1,Claude,1,Line_Graph,Q3,0.1669066667,Outlier_Detection
Color Map,Claude-2,Claude,2,Color_Map,Q3,0.2608,Outlier_Detection
Isolines,Claude-3,Claude,3,Isoline,Q3,0.1837433333,Outlier_Detection
Glyphs,Claude-4,Claude,4,Arrow_Glyph,Q3,0.2187,Outlier_Detection
Line Graph,GPT-1,GPT,1,Line_Graph,Q3,0.16842,Outlier_Detection
Color Map,GPT-2,GPT,2,Color_Map,Q3,0.15275,Outlier_Detection
Isolines,GPT-3,GPT,3,Isoline,Q3,0.17396,Outlier_Detection
Glyphs,GPT-4,GPT,4,Arrow_Glyph,Q3,0.22219,Outlier_Detection
Line Graph,Gemini-1,Gemini,1,Line_Graph,Q3,0.1519166667,Outlier_Detection
Color Map,Gemini-2,Gemini,2,Color_Map,Q3,0.3905833333,Outlier_Detection
Isolines,Gemini-3,Gemini,3,Isoline,Q3,0.3319166667,Outlier_Detection
Glyphs,Gemini-4,Gemini,4,Arrow_Glyph,Q3,0.32825,Outlier_Detection
Line Graph,Claude-1,Claude,1,Line_Graph,ECR_1c,0.00713,ECR
Color Map,Claude-2,Claude,2,Color_Map,ECR_1c,0.005793103448,ECR
Isolines,Claude-3,Claude,3,Isoline,ECR_1c,0.004366666667,ECR
Glyphs,Claude-4,Claude,4,Arrow_Glyph,ECR_1c,0.01832,ECR
Line Graph,GPT-1,GPT,1,Line_Graph,ECR_1c,0.03380666667,ECR
Color Map,GPT-2,GPT,2,Color_Map,ECR_1c,0.002066666667,ECR
Isolines,GPT-3,GPT,3,Isoline,ECR_1c,0.0009466666667,ECR
Glyphs,GPT-4,GPT,4,Arrow_Glyph,ECR_1c,0.00171,ECR
Line Graph,Gemini-1,Gemini,1,Line_Graph,ECR_1c,8.333333333e-05,ECR
Color Map,Gemini-2,Gemini,2,Color_Map,ECR_1c,0.03333333333,ECR
Isolines,Gemini-3,Gemini,3,Isoline,ECR_1c,0.0,ECR
Glyphs,Gemini-4,Gemini,4,Arrow_Glyph,ECR_1c,8.333333333e-05,ECR
