Dataset,Question_Number,Ground_Truth
1A,Q1,~0.63
1A,ECR-1a,No
1A,Q2,"All five states show a consistent upward trend, with growth accelerating sharply after 1950. Uttar Pradesh shows the steepest acceleration."
1A,ECR-1b,No
1A,Q3,"Uttar Pradesh is the clear outlier — its post-1950 growth rate far exceeds all other states. Kerala is a secondary outlier on the low end, showing notably flatter growth."
1A,ECR-1c,No
1B,Q1,-6.8C
1B,ECR-1a,No
1B,Q2,"All five cities follow the same seasonal pattern — temperatures are negative or near zero in winter (Dec–Feb), rise steadily through spring, peak in July, then decline symmetrically through autumn. Reykjavik consistently records the lowest summer highs while the other four cities are more closely grouped."
1B,ECR-1b,No
1B,Q3,"Reykjavik is a consistent outlier on the low end — its summer temperatures are notably cooler than the other four cities. Copenhagen is a mild outlier in December, remaining above freezing (0.4°C) while all others drop below zero."
1B,ECR-1c,No
1C,Q1,196
1C,ECR-1a,No
1C,Q2,"All five cities follow a bimodal daily pattern — AQI dips to its lowest in the early morning hours (03:00–05:00), rises to a morning peak around 08:00–09:00, dips slightly through midday, then rises again to an evening peak around 17:00–18:00 before declining overnight. Moscow and Istanbul remain consistently below the WHO threshold of 100 throughout the day. Tashkent, Almaty, and Tehran remain consistently and substantially above it."
1C,ECR-1b,No
1C,Q3,"Moscow and Istanbul are clear outliers on the low end — their AQI values remain below or near the WHO threshold of 100 throughout the entire day, while Tashkent, Almaty, and Tehran consistently exceed 100 by a wide margin. Tehran is a mild outlier on the high end, recording the single highest value in the dataset (196 at 18:00) and showing the steepest evening peak."
1C,ECR-1c,No
1D,Q1,67.8
1D,ECR-1a,No.
1D,Q2,"Steady increase (monotonically), overall upward for all countries"
1D,ECR-1b,No
1D,Q3,Brazil
1D,ECR-1c,No
1E,Q1,~83.6%
1E,ECR-1a,No
1E,Q2,Steady decrease (monotonic decrease) for all reservoir
1E,ECR-1b,No
1E,Q3,No strong outliers.
1E,ECR-1c,No
1F,Q1,334
1F,ECR-1a,No
1F,Q2,"There is a visible disruption around 2020-Q1, especially in clothing and electronics, while grocery remains relatively resilient and continues to grow. Otherwise, mostly gradual increase"
1F,ECR-1b,No
1F,Q3,Grocery is the clearest outlier because it stays much higher than the other categories and does not dip in 2020
1F,ECR-1c,No
1G,Q1,142
1G,ECR-1a,No
1G,Q2,"Lowest in nights and rising through the morning, peak at midday and decrease after late evening"
1G,ECR-1b,No
1G,Q3,Not really
1G,ECR-1c,No
1H,Q1,67
1H,ECR-1a,Yes
1H,Q2,"Strong seasonal cycles, peaking in Jan each year, and troughs in July."
1H,ECR-1b,No
1H,Q3,No
1H,ECR-1c,No
1I,Q1,4.7
1I,ECR-1a,Yes
1I,Q2,Steady upward trend (monotonic increase) over time for all 5 zones
1I,ECR-1b,No
1I,Q3,No
1I,ECR-1c,No
1J,Q1,201
1J,ECR-1a,No
1J,Q2,"Rise to peak around 8:00, then decline"
1J,ECR-1b,No
1J,Q3,None
1J,ECR-1c,No
2A,Q1,24.7°C
2A,ECR-1a,No
2A,Q2,"Temperature increases consistently as latitude increases northward. The equatorial band (0°) records the coolest values at 22.4°C uniformly across all longitudes. Temperatures rise steadily through 6°N (26.0°C), 12°N (29.9–30.0°C), and 24°N (37.4–38.9°C), peaking at 30°N (41.6–41.7°C). The gradient is smooth and consistent across almost all longitude bands with the notable exception of the 18°N, 38°E–45°E region."
2A,ECR-1b,No
2A,Q3,"Yes — there is a striking cold anomaly centred around 18°N, 41°E, where the temperature drops to 24.7°C, far below the expected value of approximately 33–34°C for that latitude. This is visible as the deep blue region in the colour map. A secondary, milder cool anomaly exists around 15°N, 20°E in the colour map, though it is less dramatic in the table data."
2A,ECR-1c,No
2B,Q1,0.39g
2B,ECR-1a,No
2B,Q2,"Seismic hazard is highly concentrated in the central-western portion of the region, peaking around coordinates (4, 8) and (2, 4)–(4, 4), which correspond to the Meridian Fault zone. Values drop sharply toward all edges of the map, with the northern row (N=10), southern row (N=0), and eastern and western edges all recording negligible to low hazard (0.04–0.13g). A secondary hazard concentration exists in the east-central area around (6, 4)–(8, 8), corresponding to the Eastern Rift zone."
2B,ECR-1b,No
