Row_Label,Row_Brier,Accuracy,Modality,Dataset_ID,Visualization_Type,Model
Vis-1A Claude,0.014517,1,Vis,1A,1,Claude
Dat-1A Claude,0.003200,1,Dat,1A,1,Claude
Par-1A Claude,0.005917,1,Par,1A,1,Claude
Vis-1A GPT,0.002967,1,Vis,1A,1,GPT
Dat-1A GPT,0.151033,0.8333333333,Dat,1A,1,GPT
Par-1A GPT,0.123167,0.8333333333,Par,1A,1,GPT
Vis-1A Gemini,0.000417,1,Vis,1A,1,Gemini
Dat-1A Gemini,0.000417,1,Dat,1A,1,Gemini
Par-1A Gemini,0.000417,1,Par,1A,1,Gemini
Vis-1B Claude,0.026017,1,Vis,1B,1,Claude
Dat-1B Claude,0.009267,1,Dat,1B,1,Claude
Par-1B Claude,0.009350,1,Par,1B,1,Claude
Vis-1B GPT,0.002483,1,Vis,1B,1,GPT
Dat-1B GPT,0.003383,1,Dat,1B,1,GPT
Par-1B GPT,0.004083,1,Par,1B,1,GPT
Vis-1B Gemini,0.000833,1,Vis,1B,1,Gemini
Dat-1B Gemini,0.000833,1,Dat,1B,1,Gemini
Par-1B Gemini,0.000417,1,Par,1B,1,Gemini
Vis-1C Claude,0.113783,0.8333333333,Vis,1C,1,Claude
Dat-1C Claude,0.057333,1,Dat,1C,1,Claude
Par-1C Claude,0.024417,1,Par,1C,1,Claude
Vis-1C GPT,0.003583,1,Vis,1C,1,GPT
Dat-1C GPT,0.002467,1,Dat,1C,1,GPT
Par-1C GPT,0.132083,0.8333333333,Par,1C,1,GPT
Vis-1C Gemini,0.000833,1,Vis,1C,1,Gemini
Dat-1C Gemini,0.000417,1,Dat,1C,1,Gemini
Par-1C Gemini,0.000417,1,Par,1C,1,Gemini
Vis-1D Claude,0.031983,1,Vis,1D,1,Claude
Dat-1D Claude,0.001200,1,Dat,1D,1,Claude
Par-1D Claude,0.001750,1,Par,1D,1,Claude
Vis-1D GPT,0.002283,1,Vis,1D,1,GPT
Dat-1D GPT,0.000850,1,Dat,1D,1,GPT
Par-1D GPT,0.000850,1,Par,1D,1,GPT
Vis-1D Gemini,0.000833,1,Vis,1D,1,Gemini
Dat-1D Gemini,0.000417,1,Dat,1D,1,Gemini
Par-1D Gemini,0.000000,1,Par,1D,1,Gemini
Vis-1E Claude,0.080033,0.8333333333,Vis,1E,1,Claude
Dat-1E Claude,0.055883,1,Dat,1E,1,Claude
Par-1E Claude,0.014800,1,Par,1E,1,Claude
Vis-1E GPT,0.002883,1,Vis,1E,1,GPT
Dat-1E GPT,0.008383,1,Dat,1E,1,GPT
Par-1E GPT,0.001767,1,Par,1E,1,GPT
Vis-1E Gemini,0.000417,1,Vis,1E,1,Gemini
Dat-1E Gemini,0.000417,1,Dat,1E,1,Gemini
Par-1E Gemini,0.000000,1,Par,1E,1,Gemini
Vis-1F Claude,0.032150,1,Vis,1F,1,Claude
Dat-1F Claude,0.002550,1,Dat,1F,1,Claude
Par-1F Claude,0.002983,1,Par,1F,1,Claude
Vis-1F GPT,0.006600,1,Vis,1F,1,GPT
Dat-1F GPT,0.160567,0.8333333333,Dat,1F,1,GPT
Par-1F GPT,0.000667,1,Par,1F,1,GPT
Vis-1F Gemini,0.150833,0.8333333333,Vis,1F,1,Gemini
Dat-1F Gemini,0.000417,1,Dat,1F,1,Gemini
Par-1F Gemini,0.000000,1,Par,1F,1,Gemini
Vis-1G Claude,0.021233,1,Vis,1G,1,Claude
Dat-1G Claude,0.025383,1,Dat,1G,1,Claude
Par-1G Claude,0.038617,1,Par,1G,1,Claude
Vis-1G GPT,0.129350,0.8333333333,Vis,1G,1,GPT
Dat-1G GPT,0.132033,0.8333333333,Dat,1G,1,GPT
Par-1G GPT,0.129183,0.8333333333,Par,1G,1,GPT
Vis-1G Gemini,0.001667,1,Vis,1G,1,Gemini
Dat-1G Gemini,0.135000,0.8333333333,Dat,1G,1,Gemini
Par-1G Gemini,0.150417,0.8333333333,Par,1G,1,Gemini
Vis-1H Claude,0.136500,0.8333333333,Vis,1H,1,Claude
Dat-1H Claude,0.025600,1,Dat,1H,1,Claude
Par-1H Claude,0.028933,1,Par,1H,1,Claude
Vis-1H GPT,0.001750,1,Vis,1H,1,GPT
Dat-1H GPT,0.001867,1,Dat,1H,1,GPT
Par-1H GPT,0.000750,1,Par,1H,1,GPT
Vis-1H Gemini,0.000000,1,Vis,1H,1,Gemini
Dat-1H Gemini,0.000417,1,Dat,1H,1,Gemini
Par-1H Gemini,0.000000,1,Par,1H,1,Gemini
Vis-1I Claude,0.040117,1,Vis,1I,1,Claude
Dat-1I Claude,0.033833,1,Dat,1I,1,Claude
Par-1I Claude,0.024150,1,Par,1I,1,Claude
Vis-1I GPT,0.002950,1,Vis,1I,1,GPT
Dat-1I GPT,0.001083,1,Dat,1I,1,GPT
Par-1I GPT,0.000433,1,Par,1I,1,GPT
Vis-1I Gemini,0.000000,1,Vis,1I,1,Gemini
Dat-1I Gemini,0.000000,1,Dat,1I,1,Gemini
Par-1I Gemini,0.000000,1,Par,1I,1,Gemini
Vis-1J Claude,0.122817,0.8333333333,Vis,1J,1,Claude
