Visualization_Type,Group,Model,Question_ID,Question_Brier,Question_Type
Line_Graph,Claude-1,Claude,Q1,0.02245666667,Value_Retrieval
Color_Map,Claude-2,Claude,Q1,0.1131241379,Value_Retrieval
Isoline,Claude-3,Claude,Q1,0.09398333333,Value_Retrieval
Arrow_Glyph,Claude-4,Claude,Q1,0.07337333333,Value_Retrieval
Line_Graph,GPT-1,GPT,Q1,0.00037,Value_Retrieval
Color_Map,GPT-2,GPT,Q1,0.05856333333,Value_Retrieval
Isoline,GPT-3,GPT,Q1,0.02452666667,Value_Retrieval
Arrow_Glyph,GPT-4,GPT,Q1,0.06493,Value_Retrieval
Line_Graph,Gemini-1,Gemini,Q1,0.0004166666667,Value_Retrieval
Color_Map,Gemini-2,Gemini,Q1,0.2225,Value_Retrieval
Isoline,Gemini-3,Gemini,Q1,0.05716666667,Value_Retrieval
Arrow_Glyph,Gemini-4,Gemini,Q1,0.148,Value_Retrieval
Line_Graph,Claude-1,Claude,ECR_1a,0.008363333333,ECR
Color_Map,Claude-2,Claude,ECR_1a,0.02164827586,ECR
Isoline,Claude-3,Claude,ECR_1a,0.02237,ECR
Arrow_Glyph,Claude-4,Claude,ECR_1a,0.05164,ECR
Line_Graph,GPT-1,GPT,ECR_1a,0.0002033333333,ECR
Color_Map,GPT-2,GPT,ECR_1a,0.03644666667,ECR
Isoline,GPT-3,GPT,ECR_1a,0.02255666667,ECR
Arrow_Glyph,GPT-4,GPT,ECR_1a,0.03718666667,ECR
Line_Graph,Gemini-1,Gemini,ECR_1a,0.0,ECR
Color_Map,Gemini-2,Gemini,ECR_1a,0.0001666666667,ECR
Isoline,Gemini-3,Gemini,ECR_1a,0.03008333333,ECR
Arrow_Glyph,Gemini-4,Gemini,ECR_1a,0.06666666667,ECR
Line_Graph,Claude-1,Claude,Q2,0.004826666667,Trend_Detection
Color_Map,Claude-2,Claude,Q2,0.01185714286,Trend_Detection
Isoline,Claude-3,Claude,Q2,0.01927,Trend_Detection
Arrow_Glyph,Claude-4,Claude,Q2,0.09440333333,Trend_Detection
Line_Graph,GPT-1,GPT,Q2,0.00033,Trend_Detection
Color_Map,GPT-2,GPT,Q2,0.00132,Trend_Detection
Isoline,GPT-3,GPT,Q2,0.002546666667,Trend_Detection
Arrow_Glyph,GPT-4,GPT,Q2,0.01153,Trend_Detection
Line_Graph,Gemini-1,Gemini,Q2,0.0001666666667,Trend_Detection
Color_Map,Gemini-2,Gemini,Q2,0.0005,Trend_Detection
Isoline,Gemini-3,Gemini,Q2,0.03383333333,Trend_Detection
Arrow_Glyph,Gemini-4,Gemini,Q2,0.2074166667,Trend_Detection
Line_Graph,Claude-1,Claude,ECR_1b,0.001073333333,ECR
Color_Map,Claude-2,Claude,ECR_1b,0.000724137931,ECR
Isoline,Claude-3,Claude,ECR_1b,0.001553333333,ECR
Arrow_Glyph,Claude-4,Claude,ECR_1b,0.00264,ECR
Line_Graph,GPT-1,GPT,ECR_1b,0.0002066666667,ECR
Color_Map,GPT-2,GPT,ECR_1b,0.0005366666667,ECR
Isoline,GPT-3,GPT,ECR_1b,0.001176666667,ECR
Arrow_Glyph,GPT-4,GPT,ECR_1b,0.001776666667,ECR
Line_Graph,Gemini-1,Gemini,ECR_1b,0.0,ECR
Color_Map,Gemini-2,Gemini,ECR_1b,0.0,ECR
Isoline,Gemini-3,Gemini,ECR_1b,0.0,ECR
Arrow_Glyph,Gemini-4,Gemini,ECR_1b,8.333333333e-05,ECR
Line_Graph,Claude-1,Claude,Q3,0.1669066667,Outlier_Detection
Color_Map,Claude-2,Claude,Q3,0.2608,Outlier_Detection
Isoline,Claude-3,Claude,Q3,0.1837433333,Outlier_Detection
Arrow_Glyph,Claude-4,Claude,Q3,0.2187,Outlier_Detection
Line_Graph,GPT-1,GPT,Q3,0.16842,Outlier_Detection
Color_Map,GPT-2,GPT,Q3,0.15275,Outlier_Detection
Isoline,GPT-3,GPT,Q3,0.17396,Outlier_Detection
Arrow_Glyph,GPT-4,GPT,Q3,0.22219,Outlier_Detection
Line_Graph,Gemini-1,Gemini,Q3,0.1519166667,Outlier_Detection
Color_Map,Gemini-2,Gemini,Q3,0.3905833333,Outlier_Detection
Isoline,Gemini-3,Gemini,Q3,0.3319166667,Outlier_Detection
Arrow_Glyph,Gemini-4,Gemini,Q3,0.32825,Outlier_Detection
Line_Graph,Claude-1,Claude,ECR_1c,0.00713,ECR
Color_Map,Claude-2,Claude,ECR_1c,0.005793103448,ECR
Isoline,Claude-3,Claude,ECR_1c,0.004366666667,ECR
Arrow_Glyph,Claude-4,Claude,ECR_1c,0.01832,ECR
Line_Graph,GPT-1,GPT,ECR_1c,0.03380666667,ECR
Color_Map,GPT-2,GPT,ECR_1c,0.002066666667,ECR
Isoline,GPT-3,GPT,ECR_1c,0.0009466666667,ECR
Arrow_Glyph,GPT-4,GPT,ECR_1c,0.00171,ECR
Line_Graph,Gemini-1,Gemini,ECR_1c,8.333333333e-05,ECR
Color_Map,Gemini-2,Gemini,ECR_1c,0.03333333333,ECR
Isoline,Gemini-3,Gemini,ECR_1c,0.0,ECR
Arrow_Glyph,Gemini-4,Gemini,ECR_1c,8.333333333e-05,ECR
